id;matricule;date_de_naissance;is_redacteur;is_pilote;is_porteur;is_codir;is_hse;is_validateur_hse
1;digital;2021-08-09;true;true;false;false;true;true
2;grow Pizza;2021-08-09;true;true;false;false;true;true
3;Haute-Normandie RAM;2021-08-09;false;true;true;false;false;true
4;Saint-Denis;2021-08-08;true;true;false;true;false;false
5;Trinité-et-Tobago withdrawal;2021-08-09;true;false;true;false;true;true
6;Hat;2021-08-09;true;false;false;false;false;true
7;b orange d'Azur;2021-08-09;false;false;true;false;true;true
8;Coordinateur Account;2021-08-08;false;false;true;false;true;true
9;Concrete synthesizing;2021-08-08;false;false;true;true;false;true
10;envisioneer;2021-08-09;true;false;true;true;true;false
